text,label
Resumption of the session,0
The Commission shall adopt a decision on the extension of the period of the meetings.,1
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0
"I declare the European Parliament's session, which was interrupted on Friday 17 December, to have resumed and I wish you a good holiday.",1
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0
"As you all have seen, the great ""2000 effect"" has not happened, but the citizens of several of our countries have been victims of truly terrible natural disasters.",1
"You have requested a debate on this subject in the course of the next few days, during this part-session.",0
The honourable Members have requested a debate on the subject for the next few days during this period.,1
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0
"In the meantime, as many of my colleagues have asked me, I ask that we hold a minute of silence in memory of all the victims of the storms in the various affected countries of the European Union.",1
"Please rise, then, for this minute' s silence.",0
I invite everyone to stand up and keep a minute's silence.,1
(The House rose and observed a minute' s silence),0
"(Parliament is standing, a minute's silence)",1
"Madam President, on a point of order.",0
"Madam President, a matter of procedure.",1
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,0
You will know from the press and television that there have been a series of explosions and murders in Sri Lanka.,1
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.",0
"One of the people who have recently been murdered in Sri Lanka is Mr Kumar Ponnambalam, who visited the European Parliament a few months ago.",1
"Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.",0
"Yes, Mr Evans, I think an initiative like the one you just suggested would be very appropriate.",1
"If the House agrees, I shall do as Mr Evans has suggested.",0
"If the Assembly agrees, I will do what Mr Evans has just suggested.",1
"Madam President, on a point of order.",0
"Madam President, a matter of procedure.",1
I would like your advice about Rule 143 concerning inadmissibility.,0
I would like to be advised on Article 143 concerning inadmissibility.,1
My question relates to something that will come up on Thursday and which I will then raise again.,0
"My question concerns a matter which will be discussed on Thursday, the day I will raise it again.",1
The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.,0
The Cunha report on multiannual management programmes is presented to Parliament on Thursday and contains a proposal in paragraph 6 on a form of quota-based penalties to be applied to countries that fail to meet their annual fleet reduction targets.,1
It says that this should be done despite the principle of relative stability.,0
The report states that it must be applied despite the principle of relative stability.,1
I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.,0
"I believe that the principle of relative stability is a fundamental legal principle of Community fisheries policies, and therefore a proposal to subvert it is legally inadmissible.",1
"I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.",0
"I want to know if you can object to what is just a report, not a legislative proposal, and if it is something I can raise on Thursday.",1
"That is precisely the time when you may, if you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.",0
"The honourable Member may, if he so wishes, raise this question at that time, that is, on Thursday before the report is submitted.",1
This is all in accordance with the principles that we have always upheld.,0
All this in accordance with the principles we have always upheld.,1
"Thank you, Mr Segni, I shall do so gladly.",0
"Thank you, Mr. Segni, I will do it very gladly.",1
"Indeed, it is quite in keeping with the positions this House has always adopted.",0
It is certainly in line with the positions that our Parliament has always taken.,1
"Madam President, I should like to draw your attention to a case in which this Parliament has consistently shown an interest.",0
I would like to draw your attention to a case which has been dealt with by this House time and again.,1
It is the case of Alexander Nikitin.,0
This is the case of Alexander Nikitin.,1
"All of us here are pleased that the courts have acquitted him and made it clear that in Russia, too, access to environmental information is a constitutional right.",0
We all celebrate here that the court has found him innocent and has made clear that in Russia too access to environmental information is a constitutional right.,1
"Now, however, he is to go before the courts once more because the public prosecutor is appealing.",0
"However, it happens that he will be charged again, as the prosecutor will interpose an appeal.",1
"Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.",0
"Yes, Mrs Schroedter, I will gladly examine the facts relating to this matter as soon as I receive your letter.",1
"Madam President, I would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.",0
"Madam President, I would first of all like to congratulate you on keeping your promise, as indeed in this first period of the new year the number of channels in our offices has increased dramatically.",1
"But, Madam President, my personal request has not been met.",0
"However, Madam President, what I asked has not been done.",1
"Although there are now two Finnish channels and one Portuguese one, there is still no Dutch channel, which is what I had requested because Dutch people here like to be able to follow the news too when we are sent to this place of exile every month.",0
"It is true that there are now two Finnish and one Portuguese channels, but there is not yet one Dutch and I had asked for a Dutch channel, because the Dutch too would like to hear the news every month when they send us to this exile.",1
I would therefore once more ask you to ensure that we get a Dutch channel as well.,0
I would therefore ask you again to see that we can also see a Dutch channel.,1
"Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.",0
"Mrs Plooij-van Gorsel, I can tell you that this question is on the agenda of the Questors' meeting scheduled for Wednesday.",1
"It will, I hope, be examined in a positive light.",0
I hope you'll examine it with a positive spirit.,1
"Madam President, can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes?",0
"Madam President, could you tell me why this Parliament is not complying with the health and safety legislation it has actually passed?",1
Why has no air quality test been done on this particular building since we were elected?,0
Why hasn't there been any air quality testing done on this building since we were elected?,1
Why has there been no Health and Safety Committee meeting since 1998?,0
Why has there been no meeting of the Health and Safety Committee since 1998?,1
"Why has there been no fire drill, either in the Brussels Parliament buildings or the Strasbourg Parliament buildings?",0
Why have we not had fire drills in the Brussels Parliament buildings or in the Strasbourg Parliament buildings?,1
Why are there no fire instructions?,0
Why aren't there instructions in case of fire?,1
Why have the staircases not been improved since my accident?,0
Why haven't the stairs been improved since my accident?,1
Why are no-smoking areas not enforced?,0
Why are non-smoking areas not respected?,1
It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.,0
It is utterly shameful that we pass legislation and we do not comply with it ourselves.,1
"Mrs Lynne, you are quite right and I shall check whether this has actually not been done.",0
"Mrs. Lynne, you're absolutely right, and I'll check to see if these things have been done for real.",1
"I shall also refer the matter to the College of Quaestors, and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on.",0
"I will also submit the matter to the Board of Questors, and I am sure that the Questors will do their utmost to ensure that we respect the rules that we actually vote for ourselves.",1
"Madam President, Mrs Díez González and I had tabled questions on certain opinions of the Vice-President, Mrs de Palacio, which appeared in a Spanish newspaper.",0
"Mrs President, Mrs Díaz González and I had asked questions about certain views, which were published in a Spanish newspaper, of the Vice-President, Mrs de Palacio.",1
The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.,0
The competent authorities have not included them in the agenda because they consider that they had already been answered at a previous meeting.,1
"I would ask that they reconsider, since this is not the case.",0
I ask that this decision be reconsidered because this is not the case.,1
"The questions answered previously referred to Mrs de Palacio' s intervention, on another occasion, and not to these comments which appeared in the ABC newspaper on 18 November.",0
"The questions answered above were related to the intervention of Mrs de Palacio in a particular case, not to those statements in the ABC newspaper on 18 November.",1
"Mr Berenguer Fuster, we shall check all this.",0
"Your Honor, we're going to check all this out.",1
"I admit that, at present, the matter seems to be somewhat confused.",0
"I confess to you, things seem a little confusing right now.",1
We shall therefore look into it properly to ensure that everything is as it should be.,0
We shall therefore review them seriously to make sure that everything is in order.,1
Today's decision not to renew the embargo is extremely dangerous considering the situation there.,0
Today's decision not to renew the embargo is extremely dangerous given the situation in that country.,1
"So Parliament should send a message, since that is the wish of the vast majority.",0
"Parliament must therefore send a message, as that is the wish of the vast majority.",1
It is irresponsible of EU Member States to refuse to renew the embargo.,0
It is irresponsible for the EU Member States to refuse to renew the embargo.,1
"As people have said, the situation there is extremely volatile.",0
"As people have said, the situation there is extremely precarious.",1
"There is, in fact, a risk of a military coup in the future.",0
"In fact, there is a risk of a military coup in the future.",1
We do not know what is happening.,0
We don't know what's going on in there.,1
So why should EU arms producers profit at the expense of innocent people?,0
Why should EU arms producers benefit at the expense of innocent people?,1
"In any event, this question is not presently included among the requests for topical and urgent debate on Thursday.",0
"In any case, this issue is not currently among the urgent demands for next Thursday.",1
The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure.,0
"The final draft agenda, drawn up in accordance with Article 110 of the Rules of Procedure, shall be examined by the Conference of Presidents on Thursday 13 January.",1
No amendments have been proposed relating to Monday and Tuesday.,0
"As regards Monday and Tuesday, there are no changes.",1
The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission.,0
The Group of the Party of European Socialists calls for a statement from the Commission on its strategic objectives for the next five years and on the Commission's administrative reform.,1
"I would like Mr Barón Crespo, who made the request, to speak to propose it. That is, if he so wishes, of course.",0
"I would like Mr Baron Crespo, the author of the petition, to step in to justify it, if he feels it is appropriate, of course.",1
"Then we shall follow the usual procedure, hearing one speaker in favour and one against.",0
"As always, we'll listen to one speaker for and one speaker against.",1
"This commitment is important because the Commission is a body with a monopoly of initiative in accordance with the Treaties and, therefore, basically dictates this Parliament' s political and legislative activity for the next five years.",0
This commitment is important because the Commission is a body which has a monopoly on the initiative in accordance with the Treaties and therefore basically shapes what the political and legislative activity of this Parliament will be over the next five years.,1
There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens.,0
We have therefore had enough time for the Commission to prepare its programme and for us to know it and to explain it to the citizens.,1
"To this end, I would like to remind you of the resolution of 15 September, which recommended that the proposal be presented as soon as possible.",0
I would like to remind you of the resolution of 15 September which recommended that the proposal be tabled as soon as possible.,1
"According to its President, it is in a position to do so.",0
"According to your President, you are in a position to do so.",1
"Therefore, Madam President, I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote.",0
"I therefore ask you, Madam President, to ask the Commission to come forward at this time and after the vote.",1
(Applause from the PSE Group),0
(Applause from the PSE Group),1
"Madam President, I would like to make it very clear that, above all, the Commission has absolute respect for the decisions of this Parliament and, amongst those, the decision establishing its agenda.",0
"I would like to make it very clear that the Commission first of all has the utmost respect for the decisions of this Parliament, including the one on the agenda.",1
We therefore respect whatever Parliament may decide.,0
We therefore respect what Parliament can decide in this regard.,1
"Madam President, I would like to say that the agreement reached in September distinguished this debate from the annual presentation of the Commission' s legislative programme.",0
"I mean, Madam President, this debate was different from the agreement reached in September when the Commission's annual legislative programme was presented.",1
I propose that we vote on the request of the Group of the Party of European Socialists that the Commission statement on its strategic objectives should be reinstated.,0
I propose that we vote on the request of the Group of the Party of European Socialists to re-enter the Commission's statement on its strategic objectives.,1
(Parliament rejected the request) President.,0
(Parliament rejected the request),1
"Still on the subject of Wednesday' s sitting, I have another proposal regarding the oral question on capital tax.",0
"On Wednesday's subject, I have another proposal for the oral question on capital tax.",1
The PPE-DE Group is requesting that this item be taken off the agenda.,0
The EPP-ED Group requests that this item be removed from the agenda.,1
Is there a member who wishes to speak on behalf of this Group to propose this?,0
Will any colleague speak for the group to justify this request?,1
"Madam President, I can hear a ripple of laughter from the Socialists.",0
"Madam President, I hear some laughter among the socialists.",1
"I was told that large sections of the Socialist Group were also keen to have this item taken off the agenda, because at the vote in the Conference of Presidents no vote was received from the working group of Members of the Socialist Group responsible for this matter.",0
"I have been told that broad circles within the Socialist Group also welcome the removal of this item on the agenda, since the vote in the Conference of Presidents failed to include the vote of the working group responsible for this issue and our colleagues in the Socialist Group.",1
"I do not know whether this information is correct, but the PPE-DE Group would, in any case, be grateful if this item were removed because Parliament has addressed this issue several times already.",0
"I do not know whether this information is correct, but we would appreciate it if this point were removed, as Parliament has already addressed this issue many times.",1
Decisions have also been adopted against a tax of this kind.,0
There are also agreements against such a tax.,1
That is why my Group moves that this item be taken off the agenda.,0
I therefore ask that this point of the day be deleted.,1
"Thank you, Mr Poettering.",0
"Thank you, Mr. Poettering.",1
We shall now hear Mr Wurtz speaking against this request.,0
"We must now listen to Mr Wurtz, who will speak against the petition.",1
"Madam President, I would firstly like to point out Mr Poettering' s lack of logic. He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents, and now he is doing just the same.",0
"I would like to begin by pointing out that Mr Poettering, who has just given a lesson to the Group of European Socialists, is not logical in order to re-examine a decision that was taken in an absolutely clear way at the Conference of Presidents.",1
It is not a lot to ask.,0
It's not asking too much.,1
We shall proceed to vote on the PPE-DE Group' s request that the oral question regarding the capital tax be withdrawn from the agenda.,0
The EPP-ED Group's proposal to withdraw the oral question on capital tax from the agenda is being voted on.,1
"(Parliament rejected the request, with 164 votes for, 166 votes against and 7 abstentions)",0
"(Parliament rejected the proposal by 164 votes in favour, 166 against and 7 abstentions)",1
"Madam President, I would like to thank Mr Poettering for advertising this debate.",0
"Madam President, I want to thank Mr Poettering for the publicity he has just given to this debate.",1
"Madam President, has my vote been counted? I was unable to vote electronically, since I do not have a card.",0
"Madam President, has my vote been counted, which could not be made electronically because I do not have the card?",1
"My vote was ""in favour"" .",0
"My vote was ""yes"".",1
"Madam President, the Presidency has already declared the result of the vote.",0
"Madam President, the Presidency has proclaimed the result of the vote.",1
There is no room for amendments.,0
No modifications are needed.,1
"Madam President, in the earlier vote - and I will abide by your ruling on this matter - on the question of the strategic plan of the Commission I indicated that I would like to speak in advance of the vote on behalf of my Group.",0
"Madam President, in the previous vote - and I will be listening to your decision on this matter - on the question of the Commission's strategic plan, I said that I would have liked to have spoken before the vote on behalf of my Group.",1
That did not happen.,0
This has not happened.,1
"I would appreciate it if, on the close of this item of business, I might be allowed to give an explanation of vote on behalf of my Group.",0
"I would be grateful if, at the close of this point, I could give an explanation of the vote on behalf of my Group.",1
This is an important matter.,0
It's a very important matter.,1
It would be useful for the record of the House to state how people perceive what we have just done in the light of their own political analysis.,0
It would be useful if the history of the House recorded how people perceive what we have done in light of their own political analysis.,1
"Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion.",0
"Madam President, I do not wish to resume the debate, but I had also asked for the floor to give my opinion on the amendment by Mr Crespo.",1
You did not call me either.,0
You didn't appoint me either.,1
"I regret this, but the vote has already been taken and the decision is made so let us leave the matter there.",0
"I am sorry, but the vote has been taken, the decision has been taken and so let us leave it at that.",1
"I am terribly sorry, Mr Hänsch and Mr Cox. I did not see you asking to speak.",0
"I am very sorry, Mr Hänsch, Mr Cox, I did not notice that you were asking for the floor.",1
"Even so, I think the positions are quite clear and they shall be entered in the Minutes.",0
"In these circumstances, I believe that the positions are clear and will be reflected in the Act.",1
"When we adopt the Minutes for today' s sitting tomorrow, then any Members who think the positions have not been explained clearly enough may ask for amendments.",0
"When tomorrow the minutes of today's sitting are adopted, if the honourable Members feel that the positions have not been explained well enough, they may ask for amendments.",1
This seems to me to be a workable solution.,0
I think it's a good formula.,1
"Of course, the Minutes for tomorrow' s sitting will take into account any additional explanations.",0
The minutes of tomorrow's sitting will of course contain all the additional explanations.,1
I think this is a better solution than proceeding now to extremely time-consuming explanations of votes.,0
I think this formula is better than going through a vote now that would take a long time.,1
"Mr Cox, Mr Hänsch, would this be acceptable to you?",0
"Mr. Hänsch, Mr. Cox, are you okay with that?",1
"Madam President, if the vote records correctly how my Group voted I shall not, and cannot, object to that.",0
"Madam President, if the voting record correctly indicates how my Group voted, I have no objection.",1
"If your ruling is that I cannot give an explanation of vote, I accept that but with reservations.",0
"If your decision is that we cannot explain our vote, I will abide by it, but not without reservation.",1
Safety advisers for the transport of dangerous goods,0
Safety advisors for the transport of dangerous goods,1
All of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed.,0
We must celebrate all this in a special way in the sense of subsidiarity.,1
"Our amendments from the first reading have, I believe, been taken into account very satisfactorily.",0
I believe that our amendments at first reading have been taken into account.,1
"The one unanimously adopted amendment of the Committee on Regional Policy and Transport, which concerns the timetable for implementing the directive, is something which I would urge you to support.",0
"I ask your approval for an amendment by the Committee on Regional Policy and Tourism, which has been adopted unanimously and which concerns the temporary implementation of the directive.",1
"By not setting a specific date for the Member States to implement the directive and instead giving them a period of three months after its entry into force, we are introducing a flexibility clause which ensures that the directive will be implemented without delay.",0
"Insofar as we do not impose a date on the Member States for the implementation of the directive but give them a period of three months from the date of entry into force of the directive, we introduce a flexibility clause which guarantees its immediate implementation.",1
I would urge you to endorse this.,0
I ask your consent.,1
"The renovation project, which lasted for months, cut off this important route between the north and south of Europe.",0
"This re-construction, which lasted several months, cut off this important transport route between northern and southern Europe.",1
The traffic which had to be diverted because of this stretched the patience of many thousands of people in the EU to the limit.,0
The resulting diversion of transport has led many thousands of EU citizens to the point where they cannot afford it.,1
"In fact, all hell broke loose in some municipalities in my province.",0
"In certain parts of my country, a chaotic situation really took place.",1
"Prevention has to be our answer to disasters of this kind and this draft directive is an important step towards well-trained safety advisers being available, so that the right action is taken in good time.",0
"Prevention must be our response to such disasters, and with this draft directive we are setting an important basis for having well-trained risk prevention officials so that when the time comes, the right thing is done.",1
"All the same, we must not content ourselves with enacting European law to ensure greater safety.",0
"We cannot, of course, merely create European law in the interest of greater security.",1
We also need to follow this up and make sure that our rules are transposed by the Member States in good time and - even more importantly - we need to ensure that they are also applied afterwards.,0
"We must also consistently ensure that our objectives are incorporated into national legislation by the Member States within the time limits set and, more importantly, that they are then put into practice.",1
Please let this not be yet another sector where we subsequently have to lament the lack of enforcement.,0
I would like to ask you to make sure that this is not another area where we have to regret a deficit in implementation.,1
"I should like to address one final point. We must not content ourselves with sealing another hole in the safety net and shutting our eyes to the fact that, where transport safety in Europe is concerned, there is still much more to be done.",0
I would like to point out one last point: we must not be content to close another hole in the safety net and then close our eyes to the fact that there is still much more to be done on transport safety in Europe.,1
"Madam President, first of all I should like to thank Mr Koch for his report which has, at its heart, the issue of transport safety.",0
I would like to thank Mrs Koch for her report on transport safety.,1
"The report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road, rail and inland waterway.",0
"The report deals with the issue of harmonising the examination requirements for safety advisers in the field of road, rail and river transport of dangerous goods.",1
I congratulate him on his excellent report.,0
I congratulate you on your excellent report.,1
